Code,HSchapters,HSCode
HS_01,Animals; live,1
HS_02,Meat and edible meat offal,2
HS_03,"Fish and crustaceans, molluscs and other aquatic invertebrates",3
HS_04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4
HS_05,Animal originated products; not elsewhere specified or included,5
HS_06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",6
HS_07,Vegetables and certain roots and tubers; edible,7
HS_08,"Fruit and nuts, edible; peel of citrus fruit or melons",8
HS_09,"Coffee, tea, mate and spices",9
HS_10,Cereals,10
HS_11,"Products of the milling industry; malt, starches, inulin, wheat gluten",11
HS_12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",12
HS_13,"Lac; gums, resins and other vegetable saps and extracts",13
HS_14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,14
HS_15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15
HS_16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",16
HS_17,Sugars and sugar confectionery,17
HS_18,Cocoa and cocoa preparations,18
HS_19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19
HS_20,"Preparations of vegetables, fruit, nuts or other parts of plants",20
HS_21,Miscellaneous edible preparations,21
HS_22,"Beverages, spirits and vinegar",22
HS_23,"Food industries, residues and wastes thereof; prepared animal fodder",23
HS_24,Tobacco and manufactured tobacco substitutes,24
HS_25,"Salt; sulphur; earths, stone; plastering materials, lime and cement",25
HS_26,"Ores, slag and ash",26
HS_27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",27
HS_28,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",28
HS_29,Organic chemicals,29
HS_30,Pharmaceutical products,30
HS_31,Fertilizers,31
HS_32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",32
HS_33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",33
HS_34,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, 'dental waxes' and dental preparations wit",34
HS_35,Albuminoidal substances; modified starches; glues; enzymes,35
HS_36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36
HS_37,Photographic or cinematographic goods,37
HS_38,Chemical products n.e.s.,38
HS_39,Plastics and articles thereof,39
HS_40,Rubber and articles thereof,40
HS_41,Raw hides and skins (other than furskins) and leather,41
HS_42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",42
HS_43,Furskins and artificial fur; manufactures thereof,43
HS_44,Wood and articles of wood; wood charcoal,44
HS_45,Cork and articles of cork,45
HS_46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46
HS_47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47
HS_48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48
HS_49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49
HS_50,Silk,50
HS_51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",51
HS_52,Cotton,52
HS_53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,53
HS_54,Man-made filaments,54
HS_55,Man-made staple fibres,55
HS_56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",56
HS_57,Carpets and other textile floor coverings,57
HS_58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",58
HS_59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",59
HS_60,Fabrics; knitted or crocheted,60
HS_61,Apparel and clothing accessories; knitted or crocheted,61
HS_62,Apparel and clothing accessories; not knitted or crocheted,62
HS_63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",63
HS_64,Footwear; gaiters and the like; parts of such articles,64
HS_65,Headgear and parts thereof,65
HS_66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",66
HS_67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",67
HS_68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",68
HS_69,Ceramic products,69
HS_70,Glass and glassware,70
HS_71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",71
HS_72,Iron and steel,72
HS_73,Iron or steel articles,73
HS_74,Copper and articles thereof,74
HS_75,Nickel and articles thereof,75
HS_76,Aluminium and articles thereof,76
HS_77,Personal Effects,77
HS_78,Lead and articles thereof,78
HS_80,Tin; articles thereof,80
HS_81,"Metals; n.e.s., cermets and articles thereof",81
HS_82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",82
HS_83,Metal; miscellaneous products of base metal,83
HS_84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",84
HS_85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",85
HS_86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",86
HS_87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",87
HS_88,"Aircraft, spacecraft and parts thereof",88
HS_89,"Ships, boats and floating structures",89
HS_90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",90
HS_91,Clocks and watches and parts thereof,91
HS_92,Musical instruments; parts and accessories of such articles,92
HS_93,Arms and ammunition; parts and accessories thereof,93
HS_94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, n.e.s.; illuminated signs, illuminated name-plates and the like; prefabricated buildings",94
HS_95,"Toys, games and sports requisites; parts and accessories thereof",95
HS_96,Miscellaneous manufactured articles,96
HS_97,Works of art; collectors' pieces and antiques,97
_T,Total,_T
